"City,""colYear"",""colMonth"",""prom_arribades"""
"Amarillo,""1988"",""6"",""4.0000"""
"Amarillo,""1989"",""11"",""-2.0000"""
"Amarillo,""2000"",""3"",""5.0000"""
"Anchorage,""1988"",""10"",""-2.0000"""
"Anchorage,""1992"",""5"",""12.0000"""
"Anchorage,""1995"",""10"",""-8.0000"""
"Anchorage,""1996"",""11"",""10.0000"""
"Anchorage,""1999"",""9"",""2.0000"""
"Anchorage,""1999"",""10"",""-8.0000"""
"Anchorage,""2000"",""1"",""1.0000"""
"Anchorage,""2000"",""7"",""3.0000"""
"Anchorage,""2000"",""9"",""50.0000"""
"Anchorage,""2004"",""3"",""24.0000"""
"Anchorage,""2006"",""5"",""-2.0000"""
"Anchorage,""2007"",""4"",""-21.0000"""
"Anchorage,""2007"",""7"",""-7.0000"""
"Anchorage,""2008"",""8"",""-28.0000"""
"Appleton,""1988"",""2"",""2.0000"""
"Appleton,""2004"",""5"",""10.0000"""
"Appleton,""2008"",""5"",""-10.0000"""
"Arlington,""1987"",""10"",""19.0000"""
"Arlington,""1988"",""3"",""17.0000"""
"Arlington,""1988"",""4"",""2.0000"""
"Arlington,""1988"",""7"",""1.0000"""
"Arlington,""1989"",""1"",""-8.0000"""
"Arlington,""1989"",""3"",""1.0000"""
"Arlington,""1989"",""10"",""24.0000"""
"Arlington,""1989"",""12"",""20.0000"""
"Arlington,""1990"",""1"",""0.0000"""
"Arlington,""1990"",""7"",""-11.0000"""
"Arlington,""1991"",""3"",""-1.0000"""
"Arlington,""1991"",""4"",""-3.0000"""
"Arlington,""1991"",""7"",""1.5000"""
"Arlington,""1991"",""9"",""-1.0000"""
"Arlington,""1991"",""11"",""5.0000"""
"Arlington,""1991"",""12"",""0.0000"""
"Arlington,""1992"",""2"",""-7.0000"""
"Arlington,""1992"",""7"",""-5.0000"""
"Arlington,""1992"",""8"",""-3.0000"""
"Arlington,""1993"",""2"",""7.0000"""
"Arlington,""1993"",""3"",""16.0000"""
"Arlington,""1994"",""2"",""-8.0000"""
"Arlington,""1994"",""4"",""-10.0000"""
"Arlington,""1994"",""9"",""-7.5000"""
"Arlington,""1994"",""12"",""-7.0000"""
"Arlington,""1995"",""6"",""3.0000"""
"Arlington,""1995"",""8"",""-9.0000"""
"Arlington,""1995"",""9"",""-2.0000"""
"Arlington,""1995"",""10"",""13.0000"""
"Arlington,""1996"",""1"",""-2.0000"""
"Arlington,""1996"",""2"",""4.0000"""
"Arlington,""1996"",""3"",""-3.0000"""
"Arlington,""1996"",""4"",""-12.0000"""
"Arlington,""1996"",""10"",""20.0000"""
"Arlington,""1998"",""1"",""4.0000"""
"Arlington,""1998"",""4"",""22.0000"""
"Arlington,""1998"",""7"",""-14.0000"""
"Arlington,""1998"",""8"",""-4.0000"""
"Arlington,""1999"",""10"",""10.0000"""
"Arlington,""2000"",""7"",""57.0000"""
"Arlington,""2000"",""10"",""10.0000"""
"Arlington,""2002"",""4"",""2.0000"""
"Arlington,""2002"",""12"",""2.0000"""
"Arlington,""2003"",""7"",""-11.0000"""
"Arlington,""2003"",""12"",""-1.0000"""
"Arlington,""2004"",""5"",""-12.0000"""
"Arlington,""2004"",""11"",""10.0000"""
"Arlington,""2005"",""3"",""-6.0000"""
"Arlington,""2005"",""6"",""0.0000"""
"Arlington,""2006"",""4"",""-16.0000"""
"Arlington,""2007"",""5"",""0.0000"""
"Arlington,""2007"",""8"",""37.0000"""
"Arlington,""2007"",""10"",""3.0000"""
"Arlington,""2007"",""11"",""-6.3333"""
"Arlington,""2008"",""1"",""-14.0000"""
"Arlington,""2008"",""6"",""107.0000"""
"Arlington,""2008"",""8"",""-11.0000"""
"Arlington,""2008"",""9"",""27.5000"""
"Asheville,""1994"",""2"",""-12.0000"""
"Asheville,""1997"",""9"",""-1.0000"""
"Asheville,""2006"",""11"",""-10.0000"""
"Aspen,""2008"",""3"",""7.0000"""
"Atlanta,""1987"",""10"",""18.0000"""
"Atlanta,""1987"",""11"",""-2.5000"""
"Atlanta,""1988"",""1"",""23.0000"""
"Atlanta,""1988"",""2"",""-3.0000"""
"Atlanta,""1988"",""3"",""12.5000"""
"Atlanta,""1988"",""6"",""-13.0000"""
"Atlanta,""1988"",""8"",""-9.0000"""
"Atlanta,""1988"",""9"",""1.5000"""
"Atlanta,""1988"",""12"",""0.0000"""
"Atlanta,""1989"",""1"",""20.0000"""
"Atlanta,""1989"",""2"",""-2.0000"""
"Atlanta,""1989"",""7"",""72.0000"""
"Atlanta,""1989"",""9"",""-5.0000"""
"Atlanta,""1989"",""11"",""11.0000"""
"Atlanta,""1989"",""12"",""54.0000"""
"Atlanta,""1990"",""3"",""44.0000"""
"Atlanta,""1990"",""4"",""-9.0000"""
"Atlanta,""1990"",""6"",""6.5000"""
"Atlanta,""1990"",""7"",""-5.0000"""
"Atlanta,""1990"",""10"",""20.0000"""
"Atlanta,""1990"",""11"",""6.0000"""
"Atlanta,""1990"",""12"",""32.0000"""
"Atlanta,""1991"",""1"",""-3.0000"""
"Atlanta,""1991"",""2"",""-11.0000"""
"Atlanta,""1991"",""4"",""-3.0000"""
"Atlanta,""1991"",""5"",""2.0000"""
"Atlanta,""1991"",""8"",""1.0000"""
"Atlanta,""1991"",""9"",""8.0000"""
"Atlanta,""1991"",""10"",""13.5000"""
"Atlanta,""1992"",""2"",""22.5000"""
"Atlanta,""1992"",""4"",""-4.0000"""
"Atlanta,""1992"",""5"",""-2.0000"""
"Atlanta,""1992"",""7"",""-7.0000"""
"Atlanta,""1992"",""8"",""15.0000"""
"Atlanta,""1992"",""9"",""-5.0000"""
"Atlanta,""1992"",""11"",""-14.0000"""
"Atlanta,""1992"",""12"",""-1.0000"""
"Atlanta,""1993"",""4"",""6.0000"""
"Atlanta,""1993"",""6"",""-4.0000"""
"Atlanta,""1993"",""8"",""5.0000"""
"Atlanta,""1993"",""10"",""-2.0000"""
"Atlanta,""1993"",""11"",""-8.0000"""
"Atlanta,""1993"",""12"",""9.0000"""
"Atlanta,""1994"",""1"",""8.0000"""
"Atlanta,""1994"",""3"",""37.0000"""
"Atlanta,""1994"",""6"",""17.0000"""
"Atlanta,""1994"",""7"",""31.0000"""
"Atlanta,""1994"",""8"",""5.3333"""
"Atlanta,""1994"",""9"",""3.0000"""
"Atlanta,""1994"",""10"",""1.0000"""
"Atlanta,""1994"",""11"",""-4.0000"""
"Atlanta,""1994"",""12"",""23.0000"""
"Atlanta,""1995"",""3"",""8.0000"""
"Atlanta,""1995"",""4"",""-11.0000"""
"Atlanta,""1995"",""5"",""-1.0000"""
"Atlanta,""1995"",""8"",""6.5000"""
"Atlanta,""1995"",""10"",""21.0000"""
"Atlanta,""1996"",""1"",""15.0000"""
"Atlanta,""1996"",""5"",""-10.0000"""
"Atlanta,""1996"",""6"",""25.0000"""
"Atlanta,""1996"",""10"",""7.0000"""
"Atlanta,""1996"",""11"",""4.0000"""
"Atlanta,""1997"",""1"",""2.0000"""
"Atlanta,""1997"",""2"",""-9.0000"""
"Atlanta,""1997"",""3"",""-7.0000"""
"Atlanta,""1997"",""4"",""9.0000"""
"Atlanta,""1997"",""5"",""7.0000"""
"Atlanta,""1997"",""7"",""11.0000"""
"Atlanta,""1997"",""10"",""-24.0000"""
"Atlanta,""1998"",""5"",""-11.0000"""
"Atlanta,""1998"",""9"",""-14.0000"""
"Atlanta,""1999"",""1"",""5.6667"""
"Atlanta,""1999"",""2"",""2.7500"""
"Atlanta,""1999"",""3"",""0.0000"""
"Atlanta,""1999"",""5"",""29.5000"""
"Atlanta,""1999"",""6"",""19.5000"""
"Atlanta,""1999"",""8"",""11.5000"""
"Atlanta,""1999"",""9"",""-5.0000"""
"Atlanta,""1999"",""12"",""-1.0000"""
"Atlanta,""2000"",""1"",""-2.0000"""
"Atlanta,""2000"",""2"",""-2.0000"""
"Atlanta,""2000"",""3"",""33.5000"""
"Atlanta,""2000"",""4"",""37.0000"""
"Atlanta,""2000"",""5"",""3.0000"""
"Atlanta,""2000"",""7"",""13.0000"""
"Atlanta,""2000"",""10"",""3.5000"""
"Atlanta,""2000"",""11"",""-7.0000"""
"Atlanta,""2001"",""2"",""-12.0000"""
"Atlanta,""2001"",""3"",""8.0000"""
"Atlanta,""2001"",""5"",""-12.0000"""
"Atlanta,""2001"",""6"",""1.0000"""
"Atlanta,""2001"",""7"",""49.0000"""
"Atlanta,""2002"",""4"",""29.0000"""
"Atlanta,""2002"",""5"",""15.0000"""
"Atlanta,""2002"",""7"",""12.0000"""
"Atlanta,""2002"",""8"",""-3.0000"""
"Atlanta,""2002"",""9"",""-3.0000"""
"Atlanta,""2002"",""10"",""36.5000"""
"Atlanta,""2002"",""12"",""-16.6667"""
"Atlanta,""2003"",""1"",""-5.0000"""
"Atlanta,""2003"",""2"",""-2.0000"""
"Atlanta,""2003"",""3"",""25.3333"""
"Atlanta,""2003"",""5"",""16.0000"""
"Atlanta,""2003"",""6"",""-6.3333"""
"Atlanta,""2003"",""7"",""18.5000"""
"Atlanta,""2003"",""8"",""-1.0000"""
"Atlanta,""2003"",""10"",""9.0000"""
"Atlanta,""2004"",""1"",""4.0000"""
"Atlanta,""2004"",""2"",""27.0000"""
"Atlanta,""2004"",""3"",""8.0000"""
"Atlanta,""2004"",""5"",""18.0000"""
"Atlanta,""2004"",""6"",""38.0000"""
"Atlanta,""2004"",""7"",""-5.0000"""
"Atlanta,""2004"",""8"",""9.0000"""
"Atlanta,""2004"",""10"",""52.0000"""
"Atlanta,""2005"",""2"",""1.0000"""
"Atlanta,""2005"",""3"",""50.5000"""
"Atlanta,""2005"",""5"",""-2.2500"""
"Atlanta,""2005"",""6"",""18.5000"""
"Atlanta,""2005"",""7"",""2.3333"""
"Atlanta,""2005"",""8"",""62.0000"""
"Atlanta,""2005"",""9"",""-11.0000"""
"Atlanta,""2005"",""10"",""2.5000"""
"Atlanta,""2005"",""11"",""-2.0000"""
"Atlanta,""2005"",""12"",""10.0000"""
"Atlanta,""2006"",""2"",""41.0000"""
"Atlanta,""2006"",""4"",""5.0000"""
"Atlanta,""2006"",""5"",""16.0000"""
"Atlanta,""2006"",""7"",""9.3333"""
"Atlanta,""2006"",""8"",""15.6000"""
"Atlanta,""2006"",""9"",""-5.0000"""
"Atlanta,""2006"",""10"",""-6.0000"""
"Atlanta,""2006"",""11"",""11.0000"""
"Atlanta,""2006"",""12"",""-2.0000"""
"Atlanta,""2007"",""1"",""25.5000"""
"Atlanta,""2007"",""2"",""4.0000"""
"Atlanta,""2007"",""3"",""42.0000"""
"Atlanta,""2007"",""4"",""6.5000"""
"Atlanta,""2007"",""5"",""11.0000"""
"Atlanta,""2007"",""6"",""24.5000"""
"Atlanta,""2007"",""7"",""1.0000"""
"Atlanta,""2007"",""8"",""86.0000"""
"Atlanta,""2007"",""9"",""41.0000"""
"Atlanta,""2007"",""10"",""4.5000"""
"Atlanta,""2007"",""11"",""33.0000"""
"Atlanta,""2007"",""12"",""54.5000"""
"Atlanta,""2008"",""1"",""-1.0000"""
"Atlanta,""2008"",""2"",""-14.6667"""
"Atlanta,""2008"",""3"",""0.3333"""
"Atlanta,""2008"",""4"",""30.5000"""
"Atlanta,""2008"",""5"",""1.6667"""
"Atlanta,""2008"",""6"",""-2.0000"""
"Atlanta,""2008"",""7"",""4.5000"""
"Atlanta,""2008"",""8"",""7.0000"""
"Atlanta,""2008"",""9"",""-6.0000"""
"Atlanta,""2008"",""10"",""10.0000"""
"Augusta,""1988"",""3"",""6.0000"""
"Augusta,""1988"",""12"",""57.0000"""
"Augusta,""2003"",""9"",""-6.0000"""
"Austin,""1990"",""4"",""13.0000"""
"Austin,""1990"",""8"",""-3.0000"""
"Austin,""1992"",""2"",""-9.0000"""
"Austin,""1992"",""12"",""2.0000"""
"Austin,""1993"",""1"",""-3.0000"""
"Austin,""1993"",""6"",""0.0000"""
"Austin,""1995"",""3"",""32.0000"""
"Austin,""1995"",""7"",""-1.0000"""
"Austin,""1997"",""3"",""6.0000"""
"Austin,""1999"",""7"",""0.0000"""
"Austin,""1999"",""9"",""-5.0000"""
"Austin,""2000"",""8"",""-1.0000"""
"Austin,""2002"",""10"",""-3.0000"""
"Austin,""2003"",""2"",""-5.0000"""
"Austin,""2004"",""11"",""-6.0000"""
"Austin,""2005"",""10"",""-10.0000"""
"Austin,""2006"",""4"",""25.0000"""
"Austin,""2007"",""3"",""-9.0000"""
"Austin,""2007"",""11"",""11.0000"""
"Austin,""2008"",""1"",""1.0000"""
"Austin,""2008"",""4"",""-0.5000"""
"Bakersfield,""2007"",""10"",""-6.0000"""
"Baltimore,""1987"",""11"",""-5.0000"""
"Baltimore,""1988"",""1"",""27.0000"""
"Baltimore,""1988"",""3"",""23.0000"""
"Baltimore,""1988"",""9"",""4.0000"""
"Baltimore,""1988"",""12"",""126.0000"""
"Baltimore,""1989"",""1"",""17.0000"""
"Baltimore,""1989"",""10"",""12.0000"""
"Baltimore,""1989"",""11"",""5.0000"""
"Baltimore,""1989"",""12"",""1.5000"""
"Baltimore,""1990"",""2"",""4.0000"""
"Baltimore,""1990"",""5"",""-23.0000"""
"Baltimore,""1990"",""12"",""5.0000"""
"Baltimore,""1991"",""3"",""-5.0000"""
"Baltimore,""1992"",""2"",""7.0000"""
"Baltimore,""1993"",""4"",""-2.0000"""
"Baltimore,""1993"",""6"",""116.0000"""
"Baltimore,""1993"",""9"",""4.0000"""
"Baltimore,""1993"",""11"",""13.0000"""
"Baltimore,""1994"",""5"",""-13.0000"""
"Baltimore,""1994"",""11"",""6.0000"""
"Baltimore,""1995"",""1"",""21.0000"""
"Baltimore,""1995"",""2"",""8.0000"""
"Baltimore,""1995"",""6"",""21.0000"""
"Baltimore,""1995"",""11"",""-22.0000"""
"Baltimore,""1996"",""5"",""30.0000"""
"Baltimore,""1997"",""2"",""15.0000"""
"Baltimore,""1998"",""2"",""55.0000"""
"Baltimore,""1998"",""9"",""14.0000"""
"Baltimore,""1998"",""12"",""283.0000"""
"Baltimore,""1999"",""1"",""0.0000"""
"Baltimore,""1999"",""8"",""-10.0000"""
"Baltimore,""1999"",""10"",""17.0000"""
"Baltimore,""2000"",""1"",""-7.0000"""
"Baltimore,""2000"",""4"",""4.0000"""
"Baltimore,""2000"",""6"",""8.0000"""
"Baltimore,""2000"",""8"",""2.0000"""
"Baltimore,""2000"",""11"",""-6.0000"""
"Baltimore,""2001"",""8"",""23.0000"""
"Baltimore,""2001"",""9"",""-10.0000"""
"Baltimore,""2002"",""4"",""25.0000"""
"Baltimore,""2002"",""7"",""-15.0000"""
"Baltimore,""2002"",""8"",""-9.0000"""
"Baltimore,""2002"",""11"",""8.0000"""
"Baltimore,""2003"",""1"",""-42.0000"""
"Baltimore,""2004"",""1"",""-5.0000"""
"Baltimore,""2004"",""2"",""1.0000"""
"Baltimore,""2004"",""6"",""66.0000"""
"Baltimore,""2004"",""10"",""-5.0000"""
"Baltimore,""2005"",""4"",""5.0000"""
"Baltimore,""2005"",""5"",""-15.0000"""
"Baltimore,""2005"",""6"",""4.0000"""
"Baltimore,""2005"",""8"",""46.0000"""
"Baltimore,""2005"",""12"",""6.0000"""
"Baltimore,""2006"",""7"",""-5.0000"""
"Baltimore,""2006"",""8"",""3.0000"""
"Baltimore,""2006"",""10"",""-13.0000"""
"Baltimore,""2006"",""12"",""-22.0000"""
"Baltimore,""2007"",""1"",""16.0000"""
"Baltimore,""2007"",""9"",""-16.0000"""
"Baltimore,""2008"",""2"",""-8.0000"""
"Baltimore,""2008"",""3"",""-2.0000"""
"Baltimore,""2008"",""5"",""35.0000"""
"Baltimore,""2008"",""7"",""25.0000"""
"Baltimore,""2008"",""9"",""12.0000"""
"Baltimore,""2008"",""10"",""21.0000"""
"Bangor,""2004"",""1"",""45.0000"""
"Baton Rouge,""1988"",""7"",""1.0000"""
"Baton Rouge,""1990"",""2"",""16.0000"""
"Baton Rouge,""1991"",""5"",""-13.0000"""
"Baton Rouge,""1995"",""1"",""13.0000"""
"Baton Rouge,""1995"",""12"",""6.0000"""
"Baton Rouge,""2005"",""10"",""23.0000"""
"Bethel,""1999"",""8"",""1.0000"""
"Billings,""1988"",""3"",""26.0000"""
"Billings,""1997"",""3"",""2.0000"""
"Birmingham,""1988"",""1"",""51.0000"""
"Birmingham,""1988"",""2"",""-8.0000"""
"Birmingham,""1993"",""7"",""-7.0000"""
"Birmingham,""1994"",""11"",""9.0000"""
"Birmingham,""1995"",""8"",""4.0000"""
"Birmingham,""1995"",""12"",""30.0000"""
"Birmingham,""1996"",""10"",""73.0000"""
"Birmingham,""1997"",""10"",""-5.0000"""
"Birmingham,""1998"",""12"",""17.0000"""
"Birmingham,""1999"",""1"",""-4.0000"""
"Birmingham,""1999"",""7"",""-6.0000"""
"Birmingham,""1999"",""11"",""-12.0000"""
"Birmingham,""2000"",""1"",""-10.0000"""
"Birmingham,""2007"",""3"",""-11.0000"""
"Birmingham,""2008"",""12"",""-18.0000"""
"Bismarck,""1989"",""1"",""11.0000"""
"Bismarck,""1992"",""7"",""23.0000"""
"Boise,""1989"",""4"",""-7.0000"""
"Boise,""1989"",""5"",""10.0000"""
"Boise,""1996"",""5"",""-4.0000"""
"Boise,""1997"",""1"",""43.0000"""
"Boise,""1997"",""10"",""0.0000"""
"Boise,""2002"",""12"",""-10.0000"""
"Boise,""2003"",""7"",""-8.0000"""
"Boise,""2004"",""6"",""18.0000"""
"Boise,""2007"",""10"",""-9.0000"""
"Boston,""1987"",""10"",""-3.0000"""
"Boston,""1987"",""11"",""8.0000"""
"Boston,""1988"",""1"",""28.0000"""
"Boston,""1988"",""7"",""5.0000"""
"Boston,""1988"",""9"",""-10.0000"""
"Boston,""1988"",""12"",""15.0000"""
"Boston,""1989"",""4"",""8.0000"""
"Boston,""1989"",""5"",""0.0000"""
"Boston,""1989"",""6"",""-4.0000"""
"Boston,""1989"",""12"",""22.0000"""
"Boston,""1990"",""5"",""7.0000"""
"Boston,""1990"",""6"",""-15.0000"""
"Boston,""1991"",""2"",""11.0000"""
"Boston,""1991"",""4"",""37.5000"""
"Boston,""1991"",""8"",""-3.0000"""
"Boston,""1991"",""9"",""1.0000"""
"Boston,""1991"",""12"",""-17.0000"""
"Boston,""1992"",""1"",""-11.0000"""
"Boston,""1992"",""4"",""35.0000"""
"Boston,""1992"",""5"",""8.5000"""
"Boston,""1993"",""1"",""19.0000"""
"Boston,""1993"",""4"",""21.0000"""
"Boston,""1993"",""8"",""-3.0000"""
"Boston,""1993"",""12"",""16.0000"""
"Boston,""1994"",""3"",""3.0000"""
"Boston,""1994"",""4"",""-16.0000"""
"Boston,""1994"",""6"",""-3.0000"""
"Boston,""1994"",""7"",""-3.0000"""
"Boston,""1994"",""9"",""44.0000"""
"Boston,""1994"",""11"",""-10.0000"""
"Boston,""1995"",""2"",""-27.0000"""
"Boston,""1995"",""3"",""4.0000"""
"Boston,""1995"",""4"",""-22.0000"""
"Boston,""1995"",""5"",""8.0000"""
"Boston,""1995"",""10"",""2.0000"""
"Boston,""1995"",""11"",""4.0000"""
"Boston,""1995"",""12"",""-3.0000"""
"Boston,""1996"",""2"",""-12.5000"""
"Boston,""1996"",""3"",""13.0000"""
"Boston,""1996"",""12"",""33.0000"""
"Boston,""1997"",""4"",""-10.5000"""
"Boston,""1997"",""5"",""12.0000"""
"Boston,""1997"",""6"",""-4.0000"""
"Boston,""1998"",""2"",""0.0000"""
"Boston,""1998"",""4"",""0.0000"""
"Boston,""1998"",""5"",""-9.0000"""
"Boston,""1998"",""6"",""-9.0000"""
"Boston,""1998"",""9"",""-5.0000"""
"Boston,""1998"",""10"",""9.0000"""
"Boston,""1999"",""1"",""1.0000"""
"Boston,""1999"",""2"",""-16.0000"""
"Boston,""1999"",""4"",""-15.0000"""
"Boston,""1999"",""5"",""-26.0000"""
"Boston,""1999"",""7"",""20.0000"""
"Boston,""2000"",""7"",""13.0000"""
"Boston,""2000"",""10"",""-2.0000"""
"Boston,""2001"",""1"",""-40.0000"""
"Boston,""2001"",""3"",""22.0000"""
"Boston,""2001"",""4"",""-1.0000"""
"Boston,""2001"",""6"",""16.0000"""
"Boston,""2001"",""7"",""7.5000"""
"Boston,""2001"",""9"",""-13.0000"""
"Boston,""2002"",""3"",""59.0000"""
"Boston,""2002"",""6"",""6.5000"""
"Boston,""2003"",""1"",""-6.0000"""
"Boston,""2003"",""11"",""-9.0000"""
"Boston,""2004"",""2"",""-2.5000"""
"Boston,""2004"",""11"",""-16.0000"""
"Boston,""2004"",""12"",""103.0000"""
"Boston,""2005"",""3"",""-5.0000"""
"Boston,""2005"",""5"",""-9.0000"""
"Boston,""2005"",""6"",""-23.0000"""
"Boston,""2005"",""7"",""-20.0000"""
"Boston,""2005"",""9"",""-8.0000"""
"Boston,""2005"",""12"",""-4.0000"""
"Boston,""2006"",""1"",""-3.0000"""
"Boston,""2006"",""5"",""48.0000"""
"Boston,""2006"",""6"",""17.0000"""
"Boston,""2006"",""7"",""-26.0000"""
"Boston,""2006"",""12"",""139.0000"""
"Boston,""2007"",""3"",""18.0000"""
"Boston,""2007"",""10"",""-0.5000"""
"Boston,""2007"",""11"",""-13.0000"""
"Boston,""2007"",""12"",""-20.0000"""
"Boston,""2008"",""7"",""217.0000"""
"Boston,""2008"",""8"",""2.0000"""
"Boston,""2008"",""10"",""-14.0000"""
"Boston,""2008"",""11"",""-30.0000"""
"Boston,""2008"",""12"",""15.0000"""
"Bozeman,""1992"",""4"",""-10.0000"""
"Bozeman,""1994"",""8"",""-1.0000"""
"Buffalo,""1988"",""9"",""7.0000"""
"Buffalo,""1989"",""9"",""-13.0000"""
"Buffalo,""1990"",""11"",""-8.0000"""
"Buffalo,""1990"",""12"",""2.0000"""
"Buffalo,""1991"",""7"",""-28.0000"""
"Buffalo,""1991"",""10"",""-8.5000"""
"Buffalo,""1992"",""7"",""-1.0000"""
"Buffalo,""1993"",""5"",""-1.0000"""
"Buffalo,""1997"",""8"",""1.0000"""
"Buffalo,""1997"",""12"",""-10.0000"""
"Buffalo,""1998"",""4"",""-2.0000"""
"Buffalo,""1998"",""11"",""13.0000"""
"Buffalo,""2000"",""8"",""16.0000"""
"Buffalo,""2003"",""11"",""-5.0000"""
"Buffalo,""2003"",""12"",""-15.0000"""
"Buffalo,""2005"",""5"",""16.0000"""
"Buffalo,""2005"",""7"",""5.0000"""
"Buffalo,""2006"",""11"",""119.0000"""
"Buffalo,""2007"",""1"",""-5.0000"""
"Buffalo,""2007"",""4"",""-29.0000"""
"Buffalo,""2008"",""9"",""-8.0000"""
"Burbank,""1987"",""12"",""0.0000"""
"Burbank,""1988"",""8"",""4.0000"""
"Burbank,""1988"",""10"",""21.0000"""
"Burbank,""1989"",""2"",""10.0000"""
"Burbank,""1990"",""1"",""40.0000"""
"Burbank,""1990"",""7"",""-1.0000"""
"Burbank,""1991"",""6"",""-10.0000"""
"Burbank,""1991"",""9"",""-3.0000"""
"Burbank,""1992"",""4"",""-5.0000"""
"Burbank,""1994"",""5"",""15.0000"""
"Burbank,""1994"",""6"",""-7.0000"""
"Burbank,""1994"",""12"",""-1.0000"""
"Burbank,""1995"",""7"",""-6.0000"""
"Burbank,""1999"",""6"",""10.0000"""
"Burbank,""2000"",""6"",""12.0000"""
"Burbank,""2003"",""12"",""45.0000"""
"Burbank,""2004"",""6"",""39.0000"""
"Burbank,""2005"",""7"",""28.5000"""
"Burbank,""2006"",""1"",""-5.0000"""
"Burbank,""2006"",""7"",""-7.0000"""
"Burbank,""2007"",""6"",""-7.0000"""
"Burbank,""2007"",""11"",""-6.0000"""
"Burbank,""2008"",""1"",""-4.0000"""
"Burbank,""2008"",""6"",""-6.0000"""
"Burbank,""2008"",""11"",""-9.0000"""
"Burbank,""2008"",""12"",""-14.0000"""
"Burlington,""1987"",""10"",""0.0000"""
"Burlington,""1988"",""3"",""-3.0000"""
"Burlington,""1996"",""10"",""-5.0000"""
"Burlington,""1996"",""11"",""-24.0000"""
"Burlington,""1998"",""8"",""-6.0000"""
"Burlington,""2003"",""9"",""-17.0000"""
"Burlington,""2006"",""3"",""-25.0000"""
"Burlington,""2007"",""5"",""-14.0000"""
"Burlington,""2008"",""3"",""-9.0000"""
"Cedar Rapids,""1989"",""11"",""-5.0000"""
"Cedar Rapids,""1991"",""9"",""2.0000"""
"Cedar Rapids,""2000"",""8"",""29.0000"""
"Cedar Rapids,""2007"",""2"",""37.0000"""
"Cedar Rapids,""2007"",""7"",""-2.0000"""
"Champaign/Urbana,""1992"",""4"",""13.0000"""
"Champaign/Urbana,""2006"",""2"",""-15.0000"""
"Chantilly,""1988"",""7"",""0.0000"""
"Chantilly,""1989"",""2"",""-17.0000"""
"Chantilly,""1989"",""3"",""-8.0000"""
"Chantilly,""1989"",""7"",""51.0000"""
"Chantilly,""1989"",""12"",""39.0000"""
"Chantilly,""1990"",""8"",""-15.0000"""
"Chantilly,""1990"",""9"",""-12.0000"""
"Chantilly,""1991"",""4"",""48.0000"""
"Chantilly,""1991"",""6"",""-17.0000"""
"Chantilly,""1991"",""10"",""-5.0000"""
"Chantilly,""1992"",""1"",""-14.0000"""
