"Origin,""AVG(`ArrDelay`)"",""AVG(`DepDelay`)"""
"PIA,""-6.3333"",""0.0000"""
"PIE,""14.0000"",""6.0000"""
"PIT,""7.3855"",""6.8313"""
"PMD,""-11.0000"",""0.0000"""
"PNS,""1.4000"",""1.5000"""
"PSC,""9.0000"",""2.0000"""
"PSP,""-3.7500"",""-4.2500"""
"PUB,""3.5000"",""9.0000"""
"PVD,""1.3889"",""6.1667"""
"PWM,""-6.1429"",""3.1429"""
"RAP,""-19.0000"",""-6.0000"""
"RDD,""-4.0000"",""0.0000"""
"RDU,""12.8372"",""12.5814"""
"RIC,""-4.2500"",""-0.9167"""
"RNO,""1.1905"",""2.4762"""
"ROA,""20.5000"",""11.0000"""
"ROC,""4.7333"",""5.2000"""
"RST,""4.0000"",""-3.6667"""
"RSW,""22.3571"",""20.4286"""
"SAN,""4.1930"",""7.1754"""
"SAT,""26.8000"",""27.2667"""
"SAV,""14.3333"",""18.3333"""
"SBA,""2.0000"",""0.3333"""
"SBN,""-2.0000"",""1.5000"""
"SBP,""9.2000"",""4.4000"""
"SCC,""-1.6667"",""-4.6667"""
"SCE,""-5.0000"",""0.0000"""
"SDF,""-3.1538"",""-0.2308"""
"SEA,""3.6087"",""4.9710"""
"SFO,""4.5391"",""7.4000"""
"SGF,""-4.0000"",""-3.3333"""
"SHV,""-6.2000"",""-0.8000"""
"SIT,""-16.0000"",""-9.0000"""
"SJC,""-2.7250"",""0.5500"""
"SJT,""11.0000"",""13.0000"""
"SJU,""-1.3182"",""3.5455"""
"SLC,""7.3971"",""8.3529"""
"SMF,""6.0000"",""9.4167"""
"SMX,""-2.0000"",""0.0000"""
"SNA,""4.7813"",""6.3125"""
"SPN,""3.0000"",""4.5000"""
"SPS,""-10.0000"",""-5.0000"""
"SRQ,""-5.3333"",""-3.0000"""
"STL,""4.1959"",""6.2062"""
"STT,""1.8000"",""1.0000"""
"STX,""0.5000"",""-9.0000"""
"SYR,""2.6316"",""5.6842"""
"TLH,""6.3333"",""3.3333"""
"TOL,""-6.5000"",""-8.0000"""
"TPA,""3.9000"",""4.9500"""
"TUL,""1.5714"",""1.3571"""
"TUS,""16.5714"",""19.5000"""
"TVC,""-6.6667"",""-4.0000"""
"TXK,""0.0000"",""-9.0000"""
"TYS,""-7.6000"",""-3.4000"""
"VPS,""15.0000"",""21.0000"""
"WRG,""12.5000"",""12.0000"""
"XNA,""3.2500"",""-1.7500"""
"YAK,""55.0000"",""58.0000"""
"YUM,""18.6667"",""12.3333"""
